PDB ID,Phage name,Resolution(Angstrom),Pubmed ID/DOI,Title
2XGF,T4,2.2,10.1073/pnas.1011218107,Structure of the bacteriophage T4 long tail fiber receptor-binding tip
3RWN,shigella phage sf6,1,10.2210/pdb3RWN/pdb,Atomic structure of bacteriophage sf6 tail needle knob
4HUH,T4,3.2,10.2210/pdb4HUH/pdb,"Structure of the bacteriophage T4 tail terminator protein, gp15 (C-terminal truncation mutant 1-261)."
4QNL,Escherichia phage vB EcoP G7C,2.411,10.2210/pdb4QNL/pdb,Crystal structure of tail fiber protein gp63.1 from E. coli phage G7C
3FO8,T4,1.8,10.2210/pdb3FO8/pdb,"Crystal structure of the bacteriophage T4 tail sheath protein, protease resistant fragment gp18PR"
1OCY,T4,1.5,10.2210/pdb1OCY/pdb,Structure of the receptor-binding domain of the bacteriophage T4 short tail fibre
5W5F,T4,3.4,10.2210/pdb5W5F/pdb,Cryo-EM structure of the T4 tail tube
4MTM,Acinetobacter phage AP22,1.368,10.2210/pdb4MTM/pdb,Crystal structure of the tail fiber gp53 from Acinetobacter baumannii bacteriophage AP22
1K28,T4,2.9,10.2210/pdb1K28/pdb,The Structure of the Bacteriophage T4 Cell-Puncturing Device
3FOA,T4,3.5,10.2210/pdb3FOA/pdb,"Crystal structure of the bacteriophage T4 tail sheath protein, deletion mutant gp18M"
2K4Q,Escherichia phage lambda,-,10.2210/pdb2K4Q/pdb,"The Solution Structure of gpV, the Major Tail Protein from Bacteriophage Lambda"
2L04,Escherichia phage lamda,-,10.2210/pdb2L04/pdb,The Solution Structure of the C-terminal Ig-like Domain of the Bacteriophage Lambda Tail Tube Protein
4V4K,Salmnonella Phage P22,3.251,10.2210/pdb4V4K/pdb,Bacteriophage P22 Portal Protein bound to middle Tail Factor GP4
2POH,Salmnonella Phage P22,2.1,10.2210/pdb2POH/pdb,Structure of Phage P22 Tail Needle gp26
2VKY,"Saccharomyces cerevisiae (strain ATCC 204508 / S288c), Salmonella phage P22",2.05,10.2210/pdb2VKY/pdb,Headbinding Domain of Phage P22 Tailspike C-Terminally Fused to Isoleucine Zipper pIIGCN4 (Chimera I)
4QNL,Escherichia phage vB_EcoP_G7C,2.411,10.2210/pdb4QNL/pdb,Crystal structure of tail fiber protein gp63.1 from E. coli phage G7C
Press q to quit and arrow keys to navigate,,,,
